Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0015530-T01-IM6	2.13E-01	1.62E-01	1.59E-01	1.60E-01
P-0015544-T01-IM6	3.14E-01	3.91E-01	3.37E-01	2.21E-01
P-0015612-T01-IM6	5.62E-01	6.50E-01	5.01E-01	1.81E-01
P-0015679-T01-IM6	8.21E-02	1.67E-01	9.90E-02	1.80E-01
P-0015694-T01-IM6	4.47E-01	5.38E-01	5.63E-01	9.04E-02
P-0015697-T01-IM6	3.74E-01	4.64E-01	4.73E-01	1.76E-01
P-0015718-T01-IM6	4.87E-01	4.65E-01	4.74E-01	3.28E-01
P-0015791-T01-IM6	1.83E-01	2.21E-01	1.77E-01	2.26E-01
P-0015827-T01-IM6	7.91E-01	7.80E-01	7.75E-01	3.88E-01
P-0015830-T01-IM6	9.77E-01	9.25E-01	8.00E-01	4.47E-01
P-0015832-T01-IM6	8.07E-01	8.38E-01	7.67E-01	3.06E-01
P-0015855-T02-IM6	3.77E-01	3.75E-01	2.96E-01	1.84E-01
P-0015881-T03-IM6	4.60E-01	5.85E-01	5.46E-01	1.75E-01
P-0015882-T01-IM6	7.41E-01	7.20E-01	7.42E-01	2.15E-01
P-0015895-T02-IM6	3.51E-01	3.90E-01	3.23E-01	1.26E-01
P-0015917-T01-IM6	8.30E-01	8.19E-01	6.40E-01	3.63E-01
P-0015959-T01-IM6	5.54E-01	6.50E-01	6.26E-01	2.14E-01
P-0016018-T01-IM6	3.56E-01	3.60E-01	3.42E-01	2.97E-01
P-0016027-T01-IM6	6.04E-01	6.72E-01	6.47E-01	1.15E-01
P-0016177-T01-IM6	1.04E-01	1.41E-01	1.05E-01	1.76E-01
P-0016197-T01-IM6	6.24E-01	7.13E-01	7.54E-01	1.56E-01
P-0016282-T01-IM6	8.43E-01	9.14E-01	8.12E-01	4.14E-02
P-0016327-T01-IM6	5.52E-01	4.94E-01	4.06E-01	9.41E-02
P-0016328-T01-IM6	3.80E-01	3.66E-01	2.84E-01	1.58E-01
P-0016347-T01-IM6	6.51E-01	5.75E-01	6.09E-01	2.44E-01
P-0016506-T01-IM6	1.43E-01	1.41E-01	7.04E-02	8.45E-02
P-0016530-T01-IM6	2.89E-01	2.68E-01	1.87E-01	7.36E-02
P-0016533-T01-IM6	1.68E-01	2.47E-01	2.62E-01	1.56E-01
P-0016596-T01-IM6	6.25E-01	6.94E-01	7.35E-01	8.19E-01
P-0016799-T01-IM6	1.84E-01	1.80E-01	1.15E-01	1.40E-01
P-0016800-T01-IM6	1.59E-01	1.03E-01	1.24E-01	8.35E-02
P-0016853-T02-IM6	3.28E-01	3.20E-01	3.09E-01	2.09E-01
P-0016928-T01-IM6	1.12E+00	1.36E+00	1.08E+00	4.00E-01
P-0016935-T01-IM6	1.31E+00	1.81E+00	1.61E+00	5.13E-01
P-0017003-T01-IM6	2.87E-01	3.88E-01	3.65E-01	2.32E-01
P-0017047-T01-IM6	9.09E-01	1.00E+00	6.56E-01	4.43E-01
P-0017054-T01-IM6	2.97E-02	5.97E-02	6.44E-02	8.15E-02
P-0017176-T01-IM6	4.56E-01	4.94E-01	3.68E-01	1.04E-01
P-0017215-T01-IM5	4.48E-01	5.86E-01	5.76E-01	6.09E-02
P-0017272-T01-IM6	3.82E-01	4.11E-01	2.86E-01	9.54E-02
P-0017353-T01-IM6	1.49E-01	1.61E-01	1.62E-01	1.41E-01
P-0017361-T01-IM6	5.11E-01	5.11E-01	4.89E-01	2.66E-01
P-0017384-T01-IM6	7.56E-02	1.43E-01	1.15E-01	1.73E-01
P-0017461-T01-IM6	1.26E-01	2.04E-01	2.06E-01	2.31E-01
P-0017506-T01-IM6	1.94E+00	2.05E+00	1.73E+00	2.28E-01
P-0017512-T01-IM6	5.00E-01	6.24E-01	6.31E-01	5.81E-01
P-0017539-T01-IM5	2.19E-01	2.37E-01	1.65E-01	1.23E-01
P-0017635-T01-IM5	2.23E-01	2.03E-01	1.71E-01	1.95E-01
P-0017636-T01-IM5	7.92E-02	5.87E-02	2.97E-02	7.83E-02
P-0017683-T01-IM6	1.05E+00	9.97E-01	8.91E-01	2.32E-01
P-0017690-T04-IM6	2.58E-01	2.28E-01	2.86E-01	1.32E-01
P-0017702-T01-IM6	7.28E-01	7.53E-01	6.67E-01	2.50E-01
